"kids","life.survey_1","life.survey_2","life.survey_3","life.survey_4","life.survey_5","life.survey_6","life.survey_7","life.survey_8","life.survey_9","life.survey_10","life.survey_11","life.survey_12","life.survey_13","life.survey_14","life.survey_15","life.survey_16","life.survey_17","life.survey_18","life.survey_19","life.survey_20","life.survey_21","life.survey_22","life.survey_23","life.survey_24","life.survey_25","life.survey_26","life.survey_27","life.survey_28","life.survey_29","life.survey_30","life.survey_31","life.survey_32","life.survey_33","life.survey_34","life.survey_35","life.survey_36","life.survey_37","life.survey_38","life.survey_39","life.survey_40","life.survey_41","life.survey_42","life.survey_43","life.survey_44","life.survey_45","life.survey_46","life.survey_47","life.survey_48","life.survey_49","life.survey_50","life.survey_51","life.survey_52","life.survey_53","life.survey_54","life.survey_55","life.survey_56","life.survey_57","life.survey_58","life.survey_59","life.survey_60","life.survey_61","life.survey_62","life.survey_63","life.survey_64","life.survey_65","life.survey_66","life.survey_67","life.survey_68","life.survey_69","life.survey_70","life.survey_71","life.survey_72","life.survey_73","life.survey_74","life.survey_75","life.survey_76","life.survey_77","life.survey_78","life.survey_79","life.survey_80","life.survey_81","past.year.survey_1","past.year.survey_2","past.year.survey_3","past.year.survey_4","past.year.survey_5","past.year.survey_6","past.year.survey_7","past.year.survey_8","past.year.survey_9","past.year.survey_10","past.year.survey_11","past.year.survey_12","past.year.survey_13","past.year.survey_14","past.year.survey_15","past.year.survey_16","past.year.survey_17","past.year.survey_18","past.year.survey_19","past.year.survey_20","past.year.survey_21","past.year.survey_22","past.year.survey_23","past.year.survey_24","past.year.survey_25","past.year.survey_26","past.year.survey_27","past.year.survey_28","past.year.survey_29","past.year.survey_30","past.year.survey_31","past.year.survey_32","past.year.survey_33","past.year.survey_34","past.year.survey_35","past.year.survey_36","past.year.survey_37","past.year.survey_38","past.year.survey_39","past.year.survey_40","past.year.survey_41","past.year.survey_42","past.year.survey_43","past.year.survey_44","past.year.survey_45","past.year.survey_46","past.year.survey_47","past.year.survey_48","past.year.survey_49","past.year.survey_50","past.year.survey_51","past.year.2_1","past.year.2_2","past.year.2_3","past.year.2_4","past.year.2_5","past.year.2_6","past.year.2_7","past.year.2_8","past.year.2_9","past.year.2_10","past.year.2_11","past.year.2_12","past.year.2_13","past.year.2_14","past.year.2_15","past.year.2_16","past.year.2_17","past.year.2_18","past.year.2_19","past.year.2_20","past.year.have_1","past.year.have_2","past.year.have_3","past.year.have_4","past.year.have_5","past.year.have_6","past.year.have_7","past.year.have_8","divorce","clothes","gender","age","child.age","family.death.age","education","socioeconomic","income","political.views","religious","religious_8_TEXT","relationship.time","weight","covid_NPS_GROUP","covid","work","essential","home","in.person","video.chat","community","media","government_NPS_GROUP","government","return.to.school_NPS_GROUP","return.to.school","contracted","public.health_NPS_GROUP","public.health","distancing_NPS_GROUP","distancing","children.care.now","children.care.past","SelfProtection","DiseaseAvoidance","AffiliationGroup","AffiliationExclusion","AffiliationIndependence","Status","MateSeeking","MateRetentionGeneral","MateRetentionBreakup","KinCareFamily","KinCareChild","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","STMO","LTMO","PVDInfect","PVDGerm","Dominance","Prestige","ECRAnxiety","ECRAvoidance","NeedtoBelong","BDW","ChildhoodResources","CurrentResources","ChildhoodStability","Liberal","marital.status","eAmericanIndian","eAsian","eBlack","eHispanic","eWhite","ePacificIslander","eOther","wFullTime","wPartTime","wUnemployedLooking","wUnemployedNotLooking","wStudent","wOther","height"
"No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","No","Yes","No","Yes",0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,"Yes","No","No","No","No","No","No","No","",1,"Male",27,NA,26,"Some college","Middle Middle","60,000-69,999","Democrat","Other","Agnostic",1,205,1,4,"No",NA,NA,4,0,"No",5,1,4,1,0,0,2,8,3,9,NA,NA,3.16666666666667,5.83333333333333,6,2,5.33333333333333,1.83333333333333,1,NA,NA,7,NA,1.375,4.22222222222222,5,1.875,3.5,NA,NA,NA,NA,NA,NA,0.944444444444444,1.27777777777778,2,1.16666666666667,5,6,6.66666666666667,5.33333333333333,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71
"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes",0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,4,0,0,1,3,5,0,5,0,0,0,0,0,7,0,"No","No","No","No","No","Yes","No","Yes","",2,"Male",45,28,35,"Bachelors degree","Middle Middle","100,000-149,999","Independent","Protestant Christian","",9,208,1,2,"Yes","Yes","Yes",15,0,"Yes",10,1,6,3,9,1,1,6,2,8,3,2,2.83333333333333,4.16666666666667,3.83333333333333,1.5,5.83333333333333,3,0.833333333333333,5.66666666666667,1,5.66666666666667,5.33333333333333,1.75,3.88888888888889,4.22222222222222,1.875,1.6,NA,NA,NA,NA,NA,NA,1,2.38888888888889,1.5,2.33333333333333,2.5,5.5,4,4,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,73
"No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No",0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,5,0,0,1,0,0,1,0,0,2,0,0,4,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,"No","No","No","No","No","No","No","No","",3,"Male",30,NA,26,"Some college","Middle Middle","40,000-49,999","Independent","Atheist","",2,141,1,4,"No",NA,NA,2,5,"No",120,1,6,1,5,0,1,4,2,8,NA,NA,4.66666666666667,4.5,5.16666666666667,4.66666666666667,5.16666666666667,4.16666666666667,3.33333333333333,4.16666666666667,5.33333333333333,5.5,NA,3,3.44444444444444,4.55555555555556,3.125,4.1,3.8,3.28571428571429,4.28571428571429,3,5.125,4.55555555555556,NA,NA,NA,NA,4.25,3.75,4,4,"Dating Several",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68
"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes",0,2,1,0,0,0,1,0,2,11,0,3,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,11,0,0,0,0,7,0,0,5,0,4,0,2,3,4,5,0,0,0,1,4,4,0,0,4,"Yes","No","No","No","Yes","Yes","No","Yes","",2,"Male",68,28,18,"Associates degree","Middle Middle","150,000-199,999","Republican","Evangelical Christian","",9,200,2,8,"Sometimes","Yes","Yes",0,8,"Yes",25,1,5,1,3,0,1,6,3,10,0,0,5.83333333333333,5.5,6,2.33333333333333,2,3.16666666666667,0.833333333333333,7,1,7,5,4.5,4.88888888888889,4.77777777777778,1,4.3,1,4.42857142857143,4.85714285714286,5.25,2.25,5.77777777777778,NA,NA,NA,NA,2.75,6,2,2,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","No","No",0,2,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,6,1,1,0,0,0,0,1,0,2,7,0,5,7,0,0,6,0,0,3,"No","No","No","No","No","No","No","No","",2,"Female",43,36,19,"Associates degree","Lower Middle","30,000-39,999","Democrat","Atheist","",1,155,2,7,"No",NA,NA,0,2,"Yes",120,1,0,1,0,1,1,0,3,10,18,10,4.83333333333333,4.66666666666667,4.66666666666667,2.33333333333333,5.16666666666667,2.5,2.16666666666667,NA,NA,5,6.83333333333333,3.125,4.66666666666667,4.77777777777778,1,4.5,NA,NA,NA,NA,NA,NA,1.5,2,2.8,3,2,1.25,4,7,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68
"No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,3,0,3,7,0,0,0,0,4,0,0,0,0,"Yes","Yes","Yes","No","No","No","No","No","3",5,"Female",37,NA,17,"High scool completed or GED","Lower Middle","20,000-39,999","Democrat","Protestant Christian","",6,190,2,7,"No",NA,NA,5,1,"No",30,1,3,1,0,0,2,8,3,10,NA,NA,4.33333333333333,5.66666666666667,3,2.83333333333333,5.5,2,0.833333333333333,7,2.33333333333333,6.5,NA,1.5,3.77777777777778,4.33333333333333,2.875,3.8,NA,NA,NA,NA,NA,NA,1.05555555555556,1,1.6,1.08333333333333,1.5,4.5,4,7,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62
"No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No",0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,0,5,0,0,4,7,0,0,0,0,0,0,0,0,2,"No","No","No","No","No","Yes","No","No","",2,"Female",35,NA,8,"Some college","Middle Middle","90,000-99,999","Other or Unaffiliated","Other","agnostic",5,140,2,8,"No",NA,NA,3,0,"Yes",30,1,5,1,0,0,3,10,3,10,NA,NA,5.16666666666667,5.33333333333333,5.33333333333333,2.83333333333333,5,1.5,0.833333333333333,6.83333333333333,2.66666666666667,6.83333333333333,NA,1.375,4.11111111111111,4.77777777777778,2.75,4.7,NA,NA,NA,NA,NA,NA,2.61111111111111,2,2.8,2.33333333333333,5.5,2.75,1,7,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69
"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No",0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,5,0,7,0,0,7,0,0,0,0,0,7,0,0,5,"No","Yes","No","No","Yes","Yes","No","No","",3,"Female",46,28,5,"Some college","Working","20,000-39,999","Democrat","Other","None",9,200,2,8,"No",NA,NA,5,2,"Yes",60,1,1,1,0,5,3,10,3,10,3,3,4.83333333333333,6.33333333333333,4.66666666666667,2,5.83333333333333,2.66666666666667,0.833333333333333,5.83333333333333,1,6.83333333333333,6.83333333333333,2.375,4,5,1.875,3.9,1.2,4.57142857142857,5.42857142857143,5.5,2,5,NA,NA,NA,NA,1,5.25,1,7,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64
"No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","No",0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,"Yes","No","No","No","No","No","No","No","",2,"Male",35,NA,30,"Some college","Lower Middle","30,000-39,999","Democrat","Atheist","",1,150,1,5,"Yes","Yes","Yes",40,10,"No",15,1,1,1,0,0,2,7,3,9,NA,NA,3.83333333333333,4.83333333333333,4.83333333333333,2.33333333333333,4.66666666666667,3.66666666666667,3.33333333333333,NA,NA,5.83333333333333,NA,2.125,3.77777777777778,3.77777777777778,2.75,3,NA,NA,NA,NA,NA,NA,2.11111111111111,2.05555555555556,3.3,2.33333333333333,5.5,4.75,5.66666666666667,6,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68
"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","No",0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,0,5,0,0,0,0,7,0,0,0,0,5,0,0,0,3,7,0,0,0,0,0,1,0,0,5,"Yes","Yes","No","No","No","No","No","No","26 years",3,"Female",49,21,17,"High scool completed or GED","Middle Middle","100,000-149,999","Republican","Other","spiritual",9,140,3,9,"No",NA,NA,3,3,"Yes",90,1,5,1,0,0,1,6,3,10,10,10,5.66666666666667,7,6.16666666666667,3.33333333333333,4.83333333333333,5,0.833333333333333,6.83333333333333,1.16666666666667,6.66666666666667,6.16666666666667,2.875,4.33333333333333,3.88888888888889,2.5,3.7,2.1,5,3.14285714285714,5.375,2.375,5,NA,NA,NA,NA,2.25,6.75,5,2,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66
"No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes",0,0,1,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,7,1,1,0,0,0,0,0,0,3,6,0,0,0,0,0,5,0,0,1,"No","No","No","No","No","No","No","Yes","",4,"Female",37,NA,17,"Bachelors degree","Middle Middle","70,000-79,999","Other or Unaffiliated","Atheist","",8,115,2,7,"No",NA,NA,1,0,"Yes",30,1,2,1,0,0,2,8,3,10,NA,NA,4.83333333333333,5.16666666666667,3.83333333333333,3.83333333333333,5.33333333333333,2.16666666666667,1.33333333333333,5,1.33333333333333,5.16666666666667,NA,1,2.88888888888889,3.44444444444444,3.375,3.8,3,4.71428571428571,4.71428571428571,5.875,1.125,3.33333333333333,NA,NA,NA,NA,3.5,4.25,6.33333333333333,4.66666666666667,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,64
"No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,4,7,0,0,0,"No","Yes","No","No","No","No","No","No","",2,"Male",38,NA,12,"Some college","Lower Middle","50,000-59,999","Democrat","Other","Orthodox Christian",1,220,1,5,"No",NA,NA,3,0,"Yes",15,1,0,1,0,0,3,10,2,8,NA,NA,2.5,3.83333333333333,3.16666666666667,2.5,6,2.5,4.33333333333333,NA,NA,6.16666666666667,NA,2,4.55555555555556,4.33333333333333,1.625,4.9,NA,NA,NA,NA,NA,NA,1.94444444444444,1.77777777777778,2.2,1.91666666666667,4,4,6,7,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72
"No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes",0,1,2,0,0,0,0,0,0,11,0,1,0,1,0,0,0,1,0,3,0,1,1,1,2,0,1,0,0,0,0,0,0,0,4,0,0,0,1,3,3,0,0,1,0,0,2,0,0,0,0,6,1,1,6,0,4,0,0,6,3,5,4,0,0,0,1,6,0,0,3,"Yes","No","Yes","No","Yes","Yes","No","Yes","",4,"Male",36,NA,30,"Bachelors degree","Middle Middle","80,000-89,999","Democrat","Protestant Christian","",7,184,2,7,"No",NA,NA,1,8,"Yes",30,1,2,1,0,0,3,9,3,10,NA,NA,3.83333333333333,5.5,5.83333333333333,4.16666666666667,2.83333333333333,4.33333333333333,1.66666666666667,6.33333333333333,2.66666666666667,6.33333333333333,NA,3.375,4.22222222222222,4.11111111111111,2.125,3.3,NA,NA,NA,NA,NA,NA,2.11111111111111,2.11111111111111,4.2,2.33333333333333,4.75,5.25,6,5.33333333333333,"Married",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71
"No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,5,2,5,0,1,7,0,1,4,0,0,7,"No","No","No","No","No","Yes","No","Yes","",3,"Male",32,NA,8,"Associates degree","Working","Under 20,000","Independent","Catholic","",6,116,1,3,"Yes","Yes","Yes",6,1,"Yes",10,1,5,1,3,0,1,5,3,9,NA,NA,5.5,4.66666666666667,3.83333333333333,3.16666666666667,5.83333333333333,4,3.16666666666667,NA,NA,5.5,NA,1.875,3.55555555555556,3.33333333333333,3.125,3.4,NA,NA,NA,NA,NA,NA,2.5,1.94444444444444,2.6,4.25,7,3.75,6.33333333333333,4,"Single",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66
"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No",0,11,2,11,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,5,0,0,0,7,0,0,7,0,0,7,0,0,0,"No","Yes","No","No","No","No","No","No","",1,"Female",30,NA,8,"High scool completed or GED","Working","Under 20,000","Democrat","Other","agnostic",7,160,1,6,"No",NA,NA,5,3,"Yes",20,1,0,1,0,0,3,10,3,10,NA,NA,7,5.66666666666667,1.66666666666667,1.33333333333333,6,4.16666666666667,0.833333333333333,6.5,1,2.16666666666667,NA,2.375,2.33333333333333,4.44444444444444,2.5,3.9,NA,NA,NA,NA,NA,NA,0.944444444444444,1,1.2,1.75,5.25,1,4.33333333333333,5,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65
"No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,0,0,7,0,0,6,0,0,1,"No","No","No","No","No","No","No","No","",2,"Male",38,NA,4,"Associates degree","Working","Under 20,000","Independent","Other","Agnostic",6,130,1,6,"No",NA,NA,1,1,"Yes",30,1,2,1,2,0,1,5,2,7,NA,NA,4.83333333333333,4.16666666666667,2.66666666666667,3.66666666666667,5.5,3.66666666666667,1.5,6,5.5,4,NA,2,1.88888888888889,2.77777777777778,4.875,3.7,2.6,4,3.71428571428571,3.875,1.875,2.66666666666667,NA,NA,NA,NA,3,1,3.33333333333333,3.33333333333333,"Committed Relationship",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67
