CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,CR01,CR02_06,Relationship Status,FM01_01,FM01_02,FM01_03,FM01_04,FM01_05,FM01_06,FM01_07,FM01_08,FM01_09,FM01_10,FM01_11,FM01_12,FM01_13,FM01_14,FM01_15,FM01_16,FM01_17,FM01_18,FM01_19,FM01_20,FM01_21,FM01_22,FM01_23,FM01_24,FM01_25,FM01_26,FM01_27,FM01_28,FM01_29,FM01_30,FM01_31,FM01_32,FM01_33,FM01_34,FM01_35,FM01_36,FM01_37,FM01_38,FM01_39,FM01_40,FM01_41,FM01_42,FM01_43,FM01_44,FM01_45,FM01_46,FM01_47,FM01_48,FM01_49,FM01_50,FM01_51,FM01_52,FM01_53,FM01_54,FM01_55,FM01_56,FM01_57,FM01_58,FM01_59,FM01_60,FM01_61,FM01_62,FM01_63,FM01_64,FM01_65,FM01_66,FM01_67,FM01_68,FM01_69,FM01_70,FM01_71,FM01_72,FM01_73,PR01_01,PR01_02,PR01_03,PR01_04,PR01_05,PR01_06,PR01_07,PR01_08,PR01_09,PR01_10,PR02_01,PR02_02,PR02_03,PR02_04,PR02_05,PR02_06,PR02_07,PR02_08,PR02_09,PR02_10,PA01_01,PA01_02,PA01_03,PA01_04,PA01_05,PA01_06,PA01_07,PA01_08,PA01_09,PA01_10,PA02_01,PA02_02,PA02_03,PA02_04,PA02_05,PA02_06,PA02_07,PA02_08,PA02_09,PA02_10,LD01_01,LD01_02,LD01_03,LD01_04,LD01_05,LD01_06,LD01_07,LD01_08,LD01_09,LD01_10,LD01_11,LD01_12,LD01_13,LD01_14,LD01_15,LD01_16,LD01_17,LD01_18,LD01_19,LD01_20,LD01_21,LD01_22,LD01_23,LD01_24,LD01_25,LD01_26,LD01_27,LD01_28,LD01_29,LD01_30,LD01_31,LD01_32,LD01_33,LD01_34,LD01_35,LD01_36,LD01_37,LD01_38,LD01_39,LD01_40,LD01_41,LD01_42,LD01_43,LD01_44,LD01_45,LD01_46,LD01_47,LD01_48,LD01_49,LD01_50,LD01_51,LD01_52,LD01_53,LD01_54,LD01_55,LD01_56,LD01_57,LD01_58,LD01_59,LD01_60,LD01_61,LD01_62,LD01_63,LD01_64,LD01_65,LD01_66,LD01_67,LD01_68,LD01_69,LD01_70,LD01_71,LD01_72,LD01_73,LD01_74,LD01_75,LD01_76,LD01_77,LD01_78,LD01_79,LD01_80,LD01_81,BF01_01,BF01_02,BF01_03,BF01_04,BF01_05,BF01_06,BF01_07,BF01_08,BF01_09,BF01_10,BF01_11,BF01_12,BF01_13,BF01_14,BF01_15,BF01_16,BF01_17,BF01_18,BF01_19,BF01_20,BF01_21,BF01_22,BF01_23,BF01_24,BF01_25,BF01_26,BF01_27,BF01_28,BF01_29,BF01_30,BF01_31,BF01_32,BF01_33,BF01_34,BF01_35,BF01_36,BF01_37,BF01_38,BF01_39,BF01_40,BF01_41,BF01_42,BF01_43,BF01_44,SR01_01,SR01_02,SR01_03,SR01_04,SR01_05,SR01_06,SR01_07,SR01_08,SR01_09,SR01_10,SR01_11,SR01_12,SR01_13,SR01_14,SR01_15,SR01_16,SR01_17,SR01_18,MK01_01,MK01_02,MK01_03,MK01_04,MK01_05,MK01_06,MK01_07,MK01_08,MK01_09,MK01_10,MK01_11,MK01_12,MK01_13,MK01_14,MK01_15,MK01_16,MK01_17,MK01_18,MK01_19,MK01_20,R001_CP,R001,Gender,American Indian or Alaskan Native,Asian or Asian American,Black or African American,Hispanic or Latino,White,Native Hawaiian or other Pacific Islander,Other,DM02_07a,Decline to Respond,DM02,Age,DM04_01,DM05_01,DM06_01,DM06_02,DM06_03,DM06_04,DM06_05,DM06_06,DM06_07,DM06_08,DM06,DM07_01,DM07_02,DM07_03,DM07_04,DM07_05,DM07_06,DM07_07,DM07,DM08_01,DM08_02,DM08_03,DM08_04,DM08_05,DM08,DM09_01,DM09_02,DM09_03,DM09_04,DM09_05,DM09_06,DM09_07,DM09_08,DM09_09,DM09_10,DM09,DM10_01,DM10_02,DM10_03,DM10_04,DM10_04R,DM10_05,DM10_06,DM10_07,DM10_08,DM11_01,DM11_02,DM11_03,DM11_04,DM11_05,DM11_06,DM11_07,DM11,DM12_01,DM12_02,DM12_03,DM12_04,DM12_05,DM12_06,DM12_07,DM12,DM13_01,DM13_02,DM13_03,DM13_04,DM13_05,DM13_06,DM13_07,DM13,DM14_01,DM14_02,DM14_03,DM15_01,DM15_02,DM15_03,DM15_04,DM15_05,DM15_06,DM15_07,DM15_08,DM15,DM16_01,DM16_02,DM16_03,DM16_04,DM16_05,DM16_06,DM16_07,DM16_08,DM16_08a,DM16,DM17_01,DM17_02,DM17_03,DM17_04,DM17_05,DM17_06,DM17_07,DM17_08,DM17_09,DM17,DM18_01,DM19_01,LC01_01,LC01_02,LC01,LC02_01,LC02_02,LC02,LC03_01,LC03_03,LC03,LC04_01,LC04_02,LC04,LC05_01,LC05_02,LC05,LC06_01,LC06_02,LC06,LC07_01,LC07_02,LC07,LC08_01,LC08_02,LC08,LC09_01,LC09_02,LC09,LC10_01,LC10_02,LC10,LC11_01,LC11_02,LC11,LC12_01,LC12_02,LC12,LC13_01,LC13_02,LC13,LC14_01,LC14_02,LC14,LC15_01,LC15_02,LC15,LC16_01,LC16_02,LC16,LC17_01,LC17_02,LC17,LC18_01,LC18_02,LC18,LC19_01,LC19_02,LC19,LC20_01,LC20_02,LC20,LC21_01,LC21_02,LC21,LC22_01,LC22_02,LC22,LC23_01,LC23_02,LC23,LC24_01,LC24_02,LC24,LC25_01,LC25_02,LC25,LC26_01,LC26_02,LC26,LC27_01,LC27_02,LC27,LC28_01,LC28_02,LC28,LC29_01,LC29_02,LC29,LD01,LD02_01,LD02_01R,LD02_02,LD02_03,LD02_04,LD02_05,LD02_06,LD02_07,LD02_08,LD02_09,LD02_10,LD02_11,LD02_12,LD02_13,LD02_14,LD02_15,LD02_16,LD02_17,LD02_18,LD02_19,LD02_20,LD02_21,LD02_22,LD02_23,LD02_24,LD02_25,LD02_26,LD02_27,LD02_28,LD02_29,LD02_30,LD02_31,LD02_32,LD02_33,LD02_34,LD02_35,LD02_36,LD02_37,LD02_38,LD02_39,LD02_40,LD02_41,LD02_42,LD02_43,LD02_44,LD02_45,LD02_46,LD02_47,LD02_48,LD02_49,LD02_50,LD02_51,LD02_52,LD03_01,LD03_02,LD03_03,LD03_04,LD03_05,LD03_06,LD03_07,LD03_08,LD03_09,LD03_10,LD03_11,LD03_12,LD03_13,LD03_14,LD03_15,LD03_16,LD03_17,LD03_18,LD03_19,LD03_20,LD04_01,LD04_02,LD04_03,LD04_04,LD04_05,LD04_06,LD04_07,LD04_08,LD05_01,LD06,SO01_01,SO01_02,SO01_03,SO01_04,SO01_05,SO01_06,SO01_07,SO01_08,SO01_09,SO01_10,SO01_11,SO01_12,SO01_13,SO01_14,SO01_15,SO01_16,SO01_17,SO01_18,SO01_19,PV01_01,PV01_02,PV01_03,PV01_04,PV01_05,PV01_06,PV01_07,PV01_08,PV01_09,PV01_10,PV01_11,PV01_12,PV01_13,PV01_14,PV01_15,PV01_16,PV01_17,PV01_18,PV01_19,PV01_20,PV01_21,PV02_01,PV02_02,PV02_03,PV02_04,PV02_05,PV02_06,PV02_07,PV02_08,PV02_09,PV02_10,PV02_11,PV02_12,PV02_13,PV02_14,PV02_15,DP01_01,DP01_02,DP01_03,DP01_04,DP01_05,DP01_06,DP01_07,DP01_08,DP01_09,DP01_10,DP01_11,DP01_12,DP01_13,DP01_14,DP01_15,DP01_16,DP01_17,EC01_01,EC01_02,EC01_03,EC01_04,EC01_05,EC01_06,EC01_07,EC01_08,EC01_09,EC01_10,EC01_11,EC01_12,EC01_13,EC01_14,EC01_15,EC01_16,EC01_17,EC01_18,EC01_19,EC01_20,EC01_21,EC01_22,EC01_23,EC01_24,EC01_25,EC01_26,EC01_27,EC01_28,EC01_29,EC01_30,EC01_31,EC01_32,EC01_33,EC01_34,EC01_35,EC01_36,NB01_01,NB01_02,NB01_03,NB01_04,NB01_05,NB01_06,NB01_07,NB01_08,NB01_09,NB01_10,BD01_01,BD01_02,BD01_03,BD01_04,BD01_05,BD01_06,BD01_07,BD01_08,BD01_09,BD01_10,BD01_11,BD01_12,SS01,CT01,TIME001,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME021,TIME_SUM,MAILSENT,LASTDATA,FM_SP,FM_DA,FM_AG,FM_AE,FM_AI,FM_S,FM_MS,FM_MRG,FM_MRB,FM_KCF,FM_KCC,bf_e,bf_a,bf_c,bf_n,bf_o,SOI_stmo,SOI_ltmo,pvd_infectability,pvd_germ,dp_dominance,dp_prestige,bd_total,n2b,ecr_avoidance,ecr_anxiety,DM11_all,DM12_all,DM13_all,childhood_stability,childhood_resources,current_resources,LOC_total
62,,,base,interview,4/5/24 0:50,1,0,21,21,0,0,0.72,1,,1,1,1,7,7,7,1,2,2,2,4,4,3,1,7,6,2,7,7,7,7,2,4,4,5,1,1,6,1,1,2,7,7,7,7,7,7,2,2,2,2,6,6,7,7,1,7,7,7,3,6,3,6,3,3,6,6,2,2,2,2,2,2,2,2,1,3,1,6,6,2,7,1,7,5,3,1,1,1,1,1,5,5,5,1,5,6,7,10,8,9,2,3,4,5,3,4,1,1,1,1,5,5,5,1,5,3,7,8,9,10,6,2,4,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,3,5,5,1,1,5,4,4,3,3,2,5,3,1,1,2,3,5,3,3,4,4,3,2,4,4,4,4,3,4,3,4,4,3,2,4,4,4,2,5,4,4,1,8,8,6,5,1,5,3,8,8,6,2,1,1,1,1,8,1,1,4,5,5,5,5,2,6,1,2,6,6,6,1,1,1,1,1,2,2,1,5,1,2,1,1,1,1,2,1,1,,1,1,53,19,30,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,3,2,3,5,3,6,4,7,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,6',175,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,68,6,1,9,6,3,1,1,1,1,1,1,1,5,2,2,5,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,7,1,1,1,1,1,1,5,3,4,2,1,1,8,1,1,1,1,4,1,2,1,2,2,2,1,2,1,9 yrs this last time,1,1,3,1,5,1,1,3,1,1,3,4,4,4,3,3,3,2,4,4,2,7,7,7,7,4,5,7,6,6,3,6,7,1,2,5,7,4,7,7,4,7,2,7,2,6,1,2,1,1,1,6,6,5,6,1,5,4,1,5,4,3,3,2,3,5,1,7,1,2,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,7,10,13,724,226,191,819,253,113,130,1375,405,185,,,,221,50,348,5,5065,,4/5/24 2:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,base,interview,4/5/24 0:52,1,0,21,21,0,0,1,2,,5,2,7,1,6,3,5,1,1,6,5,3,3,6,6,3,2,7,5,5,7,1,1,1,5,3,3,7,1,1,4,6,1,7,7,7,1,1,1,1,1,7,7,1,5,7,1,1,5,7,7,1,5,1,1,,,,,,,,,,,,,,,,,,,,3,5,3,1,1,5,3,5,3,4,6,7,5,9,10,1,3,4,8,2,3,3,3,1,1,5,3,2,2,5,7,8,3,9,10,1,5,6,4,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,3,2,5,1,5,4,5,4,5,5,5,2,5,2,5,4,1,1,1,5,4,4,5,5,5,5,3,4,4,5,5,5,5,5,5,5,1,5,1,4,1,5,4,5,9,9,7,7,9,7,8,9,9,9,8,8,9,9,1,4,8,5,7,7,6,7,7,1,5,6,4,3,7,1,7,5,6,6,3,6,2,3,5,2,2,1,1,2,1,1,1,1,,1,1,30,,25?,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,3,3,5,7,6,7,7,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,5'4,330,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,61,1,0,1,2,1,1,1,2,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,2,1,4,1,11,1,2,3,1,2,4,5,12,1,12,4,2,1,1,1,1,2,1,3,1,1,1,1,1,1,8,1,1,2,1,6,1,1,4,4,5,1,1,1,1,1,8,1,1,3,1,1,2,2,2,2,1,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,7,1,7,1,5,1,1,1,1,1,1,7,1,7,1,1,1,7,7,7,7,7,7,1,7,7,7,6,5,1,5,1,1,1,5,1,3,1,7,3,5,3,1,7,1,7,3,3,3,2,8,1,5,13,2,400,145,111,517,161,106,106,,,,148,57,112,166,33,321,6,2409,,4/5/24 1:32,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
90,,,base,interview,4/5/24 1:32,1,0,21,21,1,1,1.86,2,,3,2,1,5,5,5,1,5,7,5,4,5,2,5,2,6,7,2,4,2,2,5,6,6,5,6,6,5,5,2,6,2,6,2,6,6,6,2,2,2,2,6,6,6,6,2,6,6,6,6,6,3,4,2,2,7,7,2,6,4,6,5,2,6,2,1,1,1,,,,,,,5,5,5,5,5,5,1,5,5,5,4,8,2,6,9,7,10,5,3,1,5,5,5,4,4,4,4,4,4,4,4,2,9,3,5,1,10,6,7,8,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,5,5,5,7,7,7,7,7,8,8,3,7,7,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,7,2,2,1,1,1,1,2,1,1,,1,1,25,,20,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,4,4,3,5,3,2,2,4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,1,2,1,1,1,1,1,1,5'5,140,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,41,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,12,12,7,1,8,2,4,11,6,1,1,1,1,3,1,1,1,1,1,1,8,1,1,4,1,6,6,5,1,3,6,2,2,8,-9,2,6,1,-9,1,2,2,2,-9,2,2,2,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,5,5,3,5,5,5,2,3,2,2,2,2,3,3,2,3,3,3,4,3,3,2,2,3,3,2,3,3,3,6,6,6,4,3,2,4,4,4,3,2,4,4,4,5,4,5,3,2,6,4,4,5,5,5,5,8,1,4,10,1,334,671,61,326,91,43,33,,,,317,30,30,120,8,94,3,1645,,4/5/24 2:09,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,
114,,,base,interview,4/5/24 3:39,1,0,21,21,0,0,1.08,2,,2,1,1,7,7,7,1,6,5,5,6,5,6,4,4,6,7,3,5,2,3,6,6,7,1,6,5,6,7,7,7,4,7,7,7,7,7,1,1,1,1,7,7,5,5,2,5,5,5,1,1,1,7,7,7,7,7,1,7,7,7,5,7,7,6,2,1,1,,,,,,,3,1,5,5,5,5,1,5,5,5,7,8,2,5,3,6,10,4,9,1,5,1,5,1,5,1,5,3,1,3,4,7,1,6,2,9,3,8,10,5,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,4,2,4,5,3,4,4,3,2,5,2,1,4,4,5,4,4,1,2,5,2,5,4,2,1,1,2,5,5,5,4,5,4,2,4,4,2,4,5,2,2,5,2,4,7,5,5,3,1,3,9,4,1,4,1,3,3,3,8,7,6,6,5,5,4,4,3,4,7,5,-9,5,7,5,7,7,7,5,6,6,3,2,9,2,2,1,1,1,1,2,1,1,,1,1,23,,18,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,5,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,"5""8",180,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,41,1,0,4,4,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,4,1,1,1,1,2,3,1,3,6,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,3,1,2,1,1,1,1,8,1,1,1,1,7,1,2,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,5,7,1,4,1,7,3,5,7,5,7,3,7,5,5,4,2,3,1,5,3,5,5,7,6,3,5,5,5,3,2,4,2,5,5,2,2,5,4,5,7,4,6,1,4,7,1,6,1,4,4,3,4,1,14,24,1,352,108,81,408,150,105,110,,,,120,33,174,106,44,472,7,2309,,4/5/24 4:18,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,
157,,,base,interview,4/5/24 14:33,1,0,21,21,0,0,0.88,2,,5,4,6,4,3,3,5,4,4,4,4,4,2,4,5,4,4,5,5,4,5,2,4,4,3,2,2,2,3,2,4,6,2,6,5,6,4,3,3,5,3,5,5,5,5,4,4,5,5,4,3,3,5,5,5,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,3,3,1,3,4,3,6,8,9,7,1,2,10,5,2,2,4,3,3,4,3,3,1,2,9,5,1,2,7,4,3,8,10,6,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,3,5,3,5,5,5,5,5,5,4,3,5,3,4,3,4,2,3,2,4,4,3,5,3,4,4,4,5,3,4,4,4,5,3,3,3,3,2,4,3,3,2,4,7,7,7,6,5,5,5,7,7,5,6,7,7,7,6,5,6,7,6,6,6,6,4,3,7,7,4,5,1,3,5,5,5,6,6,6,4,3,10,1,1,1,1,2,1,1,1,1,,1,1,37,,6,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,4,2,6,4,3,3,4,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,3,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,"6'2""",235,1,2,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,58,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,5,1,1,1,1,2,8,1,1,4,2,2,1,2,1,2,2,2,0,2,3,4,4,4,4,4,3,2,2,3,4,4,4,2,2,4,2,4,3,3,3,4,6,2,2,2,2,3,6,4,5,6,2,4,2,4,5,6,3,2,4,2,3,4,5,2,3,2,3,2,4,4,5,6,4,7,3,1,5,5,1,2,7,4,4,2,1,5,6,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6,6,2,345,119,91,397,3508,144,45226,155,303,112,,,,189,28,473,16,2660,,4/6/24 4:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,base,interview,4/5/24 18:20,1,0,21,21,0,0,0.81,2,,3,1,1,1,1,1,1,5,6,5,6,5,6,6,7,5,2,7,5,5,7,5,6,7,3,2,3,5,1,1,6,6,3,7,7,7,6,1,1,2,1,6,7,2,5,6,2,2,6,5,5,2,3,3,3,7,7,2,3,2,5,2,3,2,2,1,3,1,,,,,,,3,2,4,4,3,1,1,5,1,5,7,6,3,4,5,8,10,2,9,1,1,1,4,2,5,4,5,2,1,2,8,7,4,5,1,3,2,9,10,6,2,2,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,4,2,5,1,5,4,5,4,5,5,3,1,5,2,5,4,4,2,2,4,3,4,3,5,3,4,2,5,1,5,3,5,4,5,4,4,2,4,3,4,5,5,5,5,8,7,7,5,2,6,7,7,4,6,6,7,7,7,3,3,5,5,5,6,7,6,6,2,6,4,4,7,7,1,6,6,4,6,5,5,2,1,11,1,1,1,1,1,1,2,1,1,,1,1,26,,5,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,4,5,3,3,5,5,7,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,7,7,7,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,1,1,1,2,1,1,1,1,1,1,1,"5'11""",175,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,2,1,1,52,1,0,3,1,5,1,1,1,1,1,1,1,3,3,2,1,1,1,1,2,1,1,1,1,1,5,2,4,1,1,3,1,12,3,5,5,1,4,1,3,3,5,2,1,3,1,2,1,1,1,1,1,1,3,1,1,6,1,6,1,2,1,2,7,1,1,7,2,1,1,1,1,1,2,2,2,2,2,2,2,2,0,5,5,5,5,5,5,5,1,2,3,1,5,5,5,1,1,5,2,5,3,5,1,7,6,1,2,3,1,2,5,1,2,5,1,5,4,7,5,6,2,7,6,6,5,5,2,3,4,3,6,2,3,2,4,3,4,6,2,4,5,5,3,1,6,2,7,2,4,5,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,7,22,22,455,204,255,599,186,96,115,101,230,90,,,,231,28,215,4,2685,,4/5/24 19:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
